,BOX_OFFICE,BOX_OFFICE(prob),DATE,HOST_LAMIGO桃猿,HOST_中信兄弟,HOST_富邦悍將,HOST_統一7-ELEVEn獅,CLIENT_LAMIGO桃猿,CLIENT_中信兄弟,CLIENT_富邦悍將,CLIENT_統一7-ELEVEn獅,Fri,Sat,Sun,Thu,Tue,Wed,Previous_CLIENT_HR,Previous_CLIENT_ERR,Previous_HOST_HR,Previous_HOST_ERR,Previous_CLIENT_SCORE,Previous_HOST_SCORE,Previous_TIME,Previous_HOST_H,Previous_HOST_SO,Previous_HOST_SB,Previous_HOST_BB,Previous_CLIENT_H,Previous_CLIENT_SO,Previous_CLIENT_SB,Previous_CLIENT_BB,Stadium
83,2680,0.134,2017-05-26,0,0,0,1,0,0,1,0,1,0,0,0,0,0,2,0,2,0,2,8,171,14,5,1,5,5,4,1,1,澄清湖
84,11011,0.55055,2017-05-27,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,171,9,4,3,2,4,6,0,2,洲際
85,4509,0.22545,2017-05-27,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,3,0,159,7,8,0,1,5,6,0,0,澄清湖
86,12663,0.63315,2017-05-28,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1,8,4,200,7,7,0,1,9,4,0,1,洲際
87,5026,0.2513,2017-05-28,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,2,2,5,2,184,8,6,2,2,7,6,1,2,澄清湖
88,5323,0.26615,2017-05-31,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,162,9,9,0,1,1,5,0,1,澄清湖
89,3155,0.15775,2017-06-06,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,2,7,12,229,10,10,0,1,14,6,0,2,洲際
90,3894,0.1947,2017-06-07,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,2,1,5,14,216,15,8,2,3,7,7,0,4,桃園
91,3718,0.1859,2017-06-08,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,3,187,7,6,0,6,4,3,0,2,桃園
92,7369,0.36845,2017-06-09,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,4,7,212,10,4,1,6,5,6,0,3,桃園
93,4256,0.3502880658436214,2017-06-09,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,1,6,7,262,15,6,2,9,8,9,2,5,新莊
94,14121,0.70605,2017-06-10,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,2,0,3,15,223,18,5,0,7,4,6,0,3,桃園
95,10642,0.8758847736625515,2017-06-10,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,2,2,3,6,11,214,17,7,2,4,12,4,0,0,新莊
96,12234,0.6117,2017-06-11,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,0,6,7,214,10,4,0,3,12,5,0,3,桃園
97,7428,0.611358024691358,2017-06-11,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,3,3,1,3,4,258,4,4,0,2,10,6,0,3,新莊
98,3220,0.2683333333333333,2017-06-16,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,1,1,1,4,7,199,8,4,0,2,7,8,1,1,台南
99,1367,0.11251028806584362,2017-06-18,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,2,0,1,0,4,221,9,6,0,0,7,9,0,2,新莊
100,3575,0.29791666666666666,2017-06-18,0,0,0,1,0,1,0,0,0,0,1,0,0,0,2,1,0,2,5,5,212,12,2,0,1,6,5,2,5,台南
101,3180,0.2617283950617284,2017-06-20,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,3,6,206,11,4,1,6,7,8,0,3,新莊
102,3488,0.1744,2017-06-20,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1,1,112,0,7,0,2,3,3,0,1,桃園
103,10105,0.50525,2017-06-21,1,0,0,0,0,1,0,0,0,0,0,0,0,1,4,1,0,1,18,3,199,9,12,0,3,21,5,1,3,桃園
104,2889,0.24075,2017-06-22,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,3,9,3,221,7,7,0,2,16,6,4,2,台南
105,3326,0.2771666666666667,2017-06-23,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,1,1,9,5,209,8,6,0,2,9,10,0,0,台南
106,3480,0.6327272727272727,2017-06-24,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,2,1,4,3,230,5,12,0,4,9,6,1,8,花蓮
107,16191,0.80955,2017-06-24,1,0,0,0,0,1,0,0,0,1,0,0,0,0,4,0,2,2,9,6,206,9,5,0,0,10,6,0,6,桃園
108,3085,0.5609090909090909,2017-06-25,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,5,172,3,4,0,5,1,5,0,4,花蓮
109,14197,0.70985,2017-06-25,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,3,2,0,3,6,184,6,6,0,3,3,4,0,8,桃園
110,4518,0.3012,2017-06-27,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,1,1,1,3,5,211,8,4,0,4,9,8,0,2,斗六
111,4113,0.20565,2017-06-28,1,0,0,0,0,1,0,0,0,0,0,0,0,1,2,1,0,0,9,7,236,9,3,1,2,10,7,1,3,桃園
112,2453,0.12265,2017-06-29,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,2,5,167,6,3,1,1,6,10,1,2,洲際
113,3108,0.5650909090909091,2017-06-29,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,4,5,230,10,5,0,4,7,13,5,4,花蓮
114,2838,0.1892,2017-07-01,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,3,4,8,7,247,14,10,0,3,13,5,0,7,斗六
115,3138,0.1569,2017-07-02,0,0,0,1,0,1,0,0,0,0,1,0,0,0,3,1,1,0,10,9,318,10,8,3,3,17,5,0,3,洲際
116,2472,0.1648,2017-07-02,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,2,0,2,173,7,3,0,3,4,9,0,1,斗六
117,2518,0.1259,2017-07-05,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,10,15,266,13,4,1,5,18,8,1,7,洲際
118,2291,0.11455,2017-07-06,0,0,1,0,1,0,0,0,0,0,0,1,0,0,2,1,0,1,5,2,199,8,10,2,6,5,2,0,1,桃園
119,4656,0.3104,2017-07-11,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,1,0,2,10,6,210,10,5,0,1,10,4,0,2,斗六
120,3550,0.1775,2017-07-12,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,4,2,238,8,7,4,6,11,5,0,3,洲際
121,3188,0.1594,2017-07-13,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,175,7,7,0,3,6,8,1,1,澄清湖
122,4058,0.2029,2017-07-13,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1,1,0,3,5,192,11,4,0,3,8,6,0,6,洲際
123,3212,0.1606,2017-07-14,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,2,1,0,4,10,228,11,4,0,3,10,7,4,3,洲際
124,3534,0.1767,2017-07-14,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,2,1,1,3,2,175,3,8,0,0,10,5,1,3,澄清湖
125,5736,0.2868,2017-07-15,0,0,1,0,1,0,0,0,0,1,0,0,0,0,2,1,0,0,8,0,201,8,6,0,3,11,4,1,1,洲際
