"","GAME_NO","DATE","STADIUM","DAY","HOST","CLIENT","CLIENT_HR","CLIENT_ERR","HOST_HR","HOST_ERR","CLIENT_SCORE","HOST_SCORE","TIME","HOST_PA","HOST_AB","HOST_H","HOST_2B","HOST_3B","HOST_TB","HOST_SO","HOST_SB","HOST_CS_1","HOST_SAC","HOST_SF","HOST_BB","HOST_IBB","HOST_HBP","HOST_GIDP","HOST_LOB","HOST_PO","HOST_A","HOST_DP","HOST_TP.1","HOST_E","HOST_CS_2","HOST_PB","CLIENT_PA","CLIENT_AB","CLIENT_H","CLIENT_2B","CLIENT_3B","CLIENT_TB","CLIENT_SO","CLIENT_SB","CLIENT_CS_1","CLIENT_SAC","CLIENT_SF","CLIENT_BB","CLIENT_IBB","CLIENT_HBP","CLIENT_GIDP","CLIENT_LOB","CLIENT_PO","CLIENT_A","CLIENT_DP","CLIENT_TP.1","CLIENT_E","CLIENT_CS_2","CLIENT_PB","HOST_BF","HOST_NP_1","HOST_ER","HOST_AO","HOST_GO","HOST_NBB","HOST_BS","HOST_S","HOST_WP","HOST_BK","HOST_PO.1","HOST_A.1","HOST_DP.1","HOST_TP","HOST_E.1","HOST_PK","CLIENT_BF","CLIENT_NP_1","CLIENT_ER","CLIENT_AO","CLIENT_GO","CLIENT_NBB","CLIENT_BS","CLIENT_S","CLIENT_WP","CLIENT_BK","CLIENT_PO.1","CLIENT_A.1","CLIENT_DP.1","CLIENT_TP","CLIENT_E.1","CLIENT_PK","氣溫(℃)","相對溼度(%)","降水量(mm)","BOX_OFFICE"
"364",126,43294,"新莊","Fri","統一7-ELEVEn獅","富邦悍將",1,0,0,0,3,0,150,32,30,5,1,0,6,8,0,1,0,0,2,0,0,1,5,0,0,0,0,0,1,0,32,30,5,1,0,6,7,0,1,0,0,2,0,0,0,4,0,0,0,0,0,1,0,36,121,3,11,8,0,0,81,0,0,0,0,0,0,0,0,32,122,0,2,15,0,0,81,0,0,0,0,0,0,0,0,30.33,60,0,3028
"365",127,43295,"桃園","Sat","LAMIGO桃猿","中信兄弟",2,0,1,3,10,2,187,28,26,5,2,0,10,7,0,0,0,0,2,0,0,0,5,0,0,0,0,0,0,0,43,41,13,1,0,20,7,0,0,0,1,1,0,0,0,6,0,0,0,0,0,0,0,43,137,5,14,8,0,0,97,0,0,0,0,0,0,0,0,35,124,2,9,10,0,0,84,1,0,0,0,0,0,0,0,29.49,68.42,0,11068
"366",128,43295,"新莊","Sat","統一7-ELEVEn獅","富邦悍將",0,1,0,2,8,4,209,33,31,10,0,1,12,6,0,1,1,0,1,0,0,3,3,0,0,0,0,0,1,0,36,33,11,0,0,11,8,1,0,0,0,3,0,0,1,6,0,0,0,0,0,0,0,41,170,6,8,9,0,2,103,2,0,0,0,0,0,0,0,34,116,4,6,11,0,0,82,0,0,0,0,0,0,0,0,30.24,57.88,0,6022
"367",129,43296,"桃園","Sun","LAMIGO桃猿","中信兄弟",2,0,0,0,5,6,231,32,26,7,1,0,8,6,1,0,2,0,3,1,0,0,6,0,0,0,0,0,0,0,43,41,15,3,0,24,8,0,0,0,0,2,0,0,0,11,0,0,0,0,0,0,0,43,154,5,8,10,0,0,102,0,0,0,0,0,0,0,0,38,152,6,10,7,0,0,104,2,0,0,0,0,0,0,0,29.26,64.88,0,6848
"368",130,43296,"新莊","Sun","統一7-ELEVEn獅","富邦悍將",0,1,1,0,7,5,249,41,36,11,1,0,15,9,2,0,1,0,4,0,0,1,11,0,0,0,0,0,0,0,40,33,12,5,0,17,6,0,0,0,3,3,0,1,0,10,0,0,0,0,0,0,0,45,173,7,11,8,0,0,107,0,0,0,0,0,0,0,0,46,193,4,8,10,0,0,122,0,0,0,0,0,0,0,0,29.82,58.38,0,4228
"369",131,43298,"洲際","Tue","中信兄弟","富邦悍將",2,0,1,2,6,8,210,42,36,15,2,0,20,6,1,0,0,0,5,1,0,1,9,0,0,0,0,0,0,0,30,29,5,0,0,11,4,0,0,0,0,0,0,1,1,4,0,0,0,0,0,0,0,38,134,4,10,12,0,1,87,1,0,0,0,0,0,0,0,42,142,8,10,5,0,1,89,1,0,0,0,0,0,0,0,31.19,72.75,0,3384
"370",132,43299,"澄清湖","Wed","統一7-ELEVEn獅","LAMIGO桃猿",1,1,1,0,4,5,222,37,30,13,1,0,17,4,2,2,2,1,3,1,0,2,8,0,0,0,0,0,2,0,28,26,7,1,0,11,4,0,0,0,0,2,0,0,1,3,0,0,0,0,0,0,0,35,142,4,10,11,0,1,91,0,0,0,0,0,0,0,0,40,152,4,5,12,0,0,92,2,0,0,0,0,0,0,0,29.91,73.38,0,3032
"371",133,43300,"洲際","Thu","中信兄弟","富邦悍將",0,2,1,1,4,6,197,33,33,7,2,0,12,6,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,34,27,5,1,0,6,4,1,0,0,0,6,0,1,1,8,0,0,0,0,0,0,0,41,161,3,11,11,0,0,99,1,1,0,0,0,0,0,0,33,131,2,11,9,0,0,87,2,0,0,0,0,0,0,0,30.95,68.92,0.02,3341
"372",136,43301,"新莊","Fri","富邦悍將","LAMIGO桃猿",2,0,1,1,7,6,217,35,35,12,2,0,17,7,1,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,35,29,9,3,0,18,1,0,0,0,0,6,0,0,1,8,0,0,0,0,0,0,0,45,176,5,14,10,0,1,104,1,0,0,0,0,0,0,0,40,138,6,9,9,0,1,90,0,0,0,0,0,0,0,0,29.5,67.92,0,8622
"373",135,43301,"洲際","Fri","中信兄弟","統一7-ELEVEn獅",3,3,1,0,5,3,211,42,35,10,2,0,15,7,1,1,1,0,3,1,2,1,12,0,0,0,0,0,1,0,32,31,7,0,1,15,4,1,1,0,0,0,0,1,0,4,0,0,0,0,0,1,0,36,131,5,12,10,0,0,85,0,0,0,0,0,0,0,0,42,167,2,6,13,0,0,105,0,0,0,0,0,0,0,0,29.51,74.46,0,3337
"374",137,43302,"洲際","Sat","中信兄弟","統一7-ELEVEn獅",1,1,0,0,2,4,174,33,32,7,2,0,9,5,3,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,34,31,7,1,0,11,10,0,0,0,0,2,0,1,1,7,0,0,0,0,0,0,0,38,152,2,4,11,0,0,95,1,0,0,0,0,0,0,0,33,122,3,4,16,0,0,89,0,0,0,0,0,0,0,0,29.53,73.08,0,8027
"375",140,43303,"新莊","Sun","富邦悍將","LAMIGO桃猿",1,0,0,2,10,0,196,27,26,1,0,0,1,6,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,35,31,9,4,0,16,5,1,1,0,1,2,1,0,1,4,0,0,0,0,0,1,0,46,164,7,10,10,0,0,105,0,0,0,0,0,0,0,0,30,102,0,9,11,0,0,69,0,0,0,0,0,0,0,0,28.53,76.75,0.33,3643
"376",141,43305,"新莊","Tue","富邦悍將","統一7-ELEVEn獅",0,2,0,1,6,1,191,31,29,7,1,0,8,2,0,0,0,1,0,0,1,0,7,0,0,0,0,0,0,0,36,33,10,2,1,14,10,0,0,0,1,1,0,1,0,6,0,0,0,0,0,0,0,40,150,3,10,7,0,0,98,1,0,0,0,0,0,0,0,36,119,0,9,15,0,0,79,0,0,0,0,0,0,0,0,29.09,76.38,0,2883
"377",142,43306,"洲際","Wed","中信兄弟","LAMIGO桃猿",0,2,0,0,3,5,201,34,31,9,1,0,10,9,1,1,0,0,3,0,0,0,5,0,0,0,0,0,1,0,31,27,7,0,0,7,4,0,0,0,0,2,0,2,1,6,0,0,0,0,0,0,0,38,169,3,9,12,0,0,103,0,0,0,0,0,0,0,0,34,129,4,2,11,0,0,77,0,0,0,0,0,0,0,0,29.21,78.08,0,3278
"378",143,43307,"新莊","Thu","富邦悍將","統一7-ELEVEn獅",1,0,1,4,11,6,201,38,35,12,3,0,18,5,0,0,0,1,1,0,1,2,6,0,0,0,0,0,0,0,40,36,10,2,1,17,8,2,1,0,0,3,0,1,0,6,0,0,0,0,0,1,0,45,186,9,13,8,0,0,109,0,0,0,0,0,0,0,0,40,142,6,9,10,0,0,95,0,0,0,0,0,0,0,0,30.02,72.08,0,3072
"379",144,43307,"洲際","Thu","中信兄弟","LAMIGO桃猿",4,0,1,1,15,8,221,40,37,10,2,0,15,6,1,0,0,0,2,0,1,0,5,0,0,0,0,0,0,0,42,39,16,2,0,30,4,1,0,0,1,2,0,0,1,7,0,0,0,0,0,0,0,49,175,15,13,10,0,0,115,0,0,0,0,0,0,0,0,40,138,8,13,8,0,0,90,0,0,0,0,0,0,0,0,29.85,75.96,0,3201
"380",145,43308,"新莊","Fri","富邦悍將","中信兄弟",0,2,0,1,0,1,162,27,24,6,2,0,8,3,0,0,0,0,2,1,0,0,8,0,0,0,0,0,0,0,32,28,3,0,0,3,9,0,0,1,0,2,1,0,2,5,0,0,0,0,0,0,0,32,102,0,8,9,0,0,68,0,0,0,0,0,0,0,0,34,116,0,14,6,0,0,70,1,0,0,0,0,0,0,0,29.52,73.25,0.04,8840
"381",146,43308,"桃園","Fri","LAMIGO桃猿","統一7-ELEVEn獅",1,2,2,1,3,6,210,36,30,12,3,0,21,2,0,0,1,1,4,0,0,1,10,0,0,0,0,0,0,0,36,34,7,2,0,12,7,0,1,0,0,2,0,0,0,6,0,0,0,0,0,1,0,36,138,3,13,7,0,0,86,0,0,0,0,0,0,0,0,40,160,5,10,9,0,0,98,0,0,0,0,0,0,0,0,28.99,80.25,0,6316
"382",147,43309,"新莊","Sat","富邦悍將","中信兄弟",2,0,1,0,6,3,226,25,25,5,3,1,13,9,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,43,37,12,1,0,19,4,1,0,0,0,6,0,0,1,10,0,0,0,0,0,0,0,43,179,6,13,8,0,0,106,0,0,0,0,0,0,0,0,31,135,3,5,11,0,0,91,0,0,0,0,0,0,0,0,29.85,70.38,0,8048
"383",148,43309,"桃園","Sat","LAMIGO桃猿","統一7-ELEVEn獅",0,0,0,0,3,1,240,37,26,4,2,0,6,10,0,0,1,0,9,0,1,0,11,0,0,0,0,0,0,0,33,28,7,1,1,10,5,2,2,0,0,5,0,0,0,6,0,0,0,0,0,2,0,37,145,3,8,10,0,0,83,0,0,0,0,0,0,0,0,41,184,1,10,6,0,0,102,0,0,0,0,0,0,0,0,29.05,78.33,0,11114
"384",149,43310,"新莊","Sun","富邦悍將","中信兄弟",0,0,0,1,3,1,192,33,32,7,1,1,10,3,0,0,0,0,1,0,0,0,9,0,0,0,0,0,0,0,36,34,6,0,0,6,6,0,0,0,0,1,1,0,0,6,0,0,0,0,0,0,0,36,120,1,10,12,0,0,85,1,0,0,0,0,0,0,0,37,133,1,6,17,0,0,94,1,0,0,0,0,0,0,0,30.31,66.96,0,5507
"385",150,43310,"桃園","Sun","LAMIGO桃猿","統一7-ELEVEn獅",2,0,0,2,5,9,227,34,33,16,2,0,18,4,0,0,0,0,1,0,0,0,11,0,0,0,0,0,0,0,33,32,7,0,0,13,8,1,0,0,0,1,0,0,0,4,0,0,0,0,0,0,1,37,135,5,12,7,0,0,91,0,0,0,0,0,0,0,0,44,158,8,14,5,0,1,104,0,0,0,0,0,0,0,0,29.58,74.29,0,6513
"386",151,43312,"桃園","Tue","LAMIGO桃猿","中信兄弟",0,3,0,5,7,4,236,36,33,12,1,0,13,6,0,0,1,0,2,0,0,0,11,0,0,0,0,0,0,0,42,38,12,3,0,15,8,1,0,0,1,3,0,0,0,8,0,0,0,0,0,0,0,42,148,5,9,10,0,0,96,1,1,0,0,0,0,0,0,44,172,1,11,11,0,0,114,2,0,0,0,0,0,0,0,29.79,74.79,0,4637
"387",152,43313,"台南","Wed","統一7-ELEVEn獅","富邦悍將",0,1,1,0,3,6,195,34,30,8,2,0,13,4,0,0,0,0,2,0,2,0,8,0,0,0,0,0,0,0,34,28,8,1,1,11,8,0,0,1,1,3,0,1,2,8,0,0,0,0,0,0,0,38,157,3,9,7,0,0,94,0,0,0,0,0,0,0,0,38,128,5,9,11,0,0,85,0,0,0,0,0,0,0,0,30.66,71.71,0,4033
"388",153,43314,"桃園","Thu","LAMIGO桃猿","中信兄弟",4,1,0,5,15,6,236,31,29,10,3,0,13,8,0,0,0,0,2,0,0,0,5,0,0,0,0,0,0,0,52,46,19,4,0,35,6,0,0,2,1,3,0,0,1,10,0,0,0,0,0,0,0,52,181,9,11,12,0,0,117,2,0,0,0,0,0,0,0,38,133,5,10,8,0,0,91,1,0,0,0,0,0,0,0,29.82,75.08,0,5117
"389",154,43314,"台南","Thu","統一7-ELEVEn獅","富邦悍將",1,1,1,3,8,4,214,32,31,6,1,0,10,7,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,33,27,7,1,0,11,4,4,1,0,1,4,0,1,1,4,0,0,0,0,0,1,0,41,164,4,12,9,0,0,102,1,0,0,0,0,0,0,0,36,141,4,14,7,0,0,96,0,0,0,0,0,0,0,0,29.3,76.83,0.61,3035
"390",155,43315,"洲際","Fri","中信兄弟","富邦悍將",2,1,0,2,9,6,252,42,34,7,3,1,12,9,2,0,0,0,7,0,1,1,9,0,0,0,0,0,0,1,44,40,18,1,0,25,1,2,2,0,0,4,0,0,0,13,0,0,0,0,0,2,0,50,194,7,14,11,0,0,124,1,0,0,0,0,0,0,0,42,156,6,9,9,0,0,89,0,0,0,0,0,0,0,0,28.73,76.67,0.23,3584
"391",156,43315,"台南","Fri","統一7-ELEVEn獅","LAMIGO桃猿",1,0,1,1,2,4,214,35,33,13,0,0,16,4,0,1,0,0,1,0,1,0,10,0,0,0,0,0,1,0,29,25,5,0,0,8,8,0,0,0,0,3,0,1,3,7,0,0,0,0,0,0,0,37,154,2,6,7,0,0,90,0,0,0,0,0,0,0,0,39,139,4,13,6,0,0,89,0,0,0,0,0,0,0,0,28.96,77.96,0.58,4062
"392",157,43316,"洲際","Sat","中信兄弟","富邦悍將",0,0,1,1,2,10,196,42,36,16,1,1,22,3,1,0,0,1,5,0,0,2,8,0,0,0,0,0,0,0,36,33,11,1,0,12,9,0,2,0,0,1,1,1,1,10,0,0,0,0,0,2,0,40,142,2,8,8,0,0,101,0,0,0,0,0,0,0,0,42,154,10,11,7,0,0,90,1,0,0,0,0,0,0,0,29.61,75,0.21,8133
"393",158,43316,"台南","Sat","統一7-ELEVEn獅","LAMIGO桃猿",0,1,1,1,2,3,225,36,32,10,1,0,14,5,0,0,1,0,1,1,1,2,8,0,0,0,0,0,0,0,30,26,7,0,0,7,4,0,0,1,0,3,0,0,0,10,0,0,0,0,0,0,0,39,160,2,12,9,0,0,106,1,0,0,0,0,0,0,0,37,153,2,6,12,0,1,96,0,0,0,0,0,0,0,0,29.72,68.54,0,6158
"394",160,43317,"台南","Sun","統一7-ELEVEn獅","LAMIGO桃猿",0,2,0,0,1,3,203,24,21,4,0,0,4,5,0,2,1,0,2,0,0,1,2,0,0,0,0,0,2,0,34,30,5,0,0,5,11,0,0,0,0,4,0,0,0,8,0,0,0,0,0,0,0,38,161,1,6,9,0,0,104,0,0,0,0,0,0,0,0,30,124,2,7,7,0,0,91,0,0,0,0,0,0,0,0,29.53,68.88,0.07,4189
"395",159,43317,"洲際","Sun","中信兄弟","富邦悍將",1,2,0,1,5,2,205,38,35,10,1,0,11,6,0,1,0,2,1,0,0,1,9,0,0,0,0,0,1,0,29,27,9,2,0,11,5,0,1,0,0,2,0,0,3,5,0,0,0,0,0,1,0,37,146,5,8,7,0,0,88,0,0,0,0,0,0,0,0,38,151,1,13,8,0,0,106,0,0,0,0,0,0,0,0,28.63,81.25,0.08,4068
"396",161,43319,"洲際","Tue","中信兄弟","統一7-ELEVEn獅",3,2,0,0,5,7,176,37,32,11,2,2,17,6,1,1,1,1,2,0,1,0,6,0,0,0,0,0,1,0,33,31,12,0,0,18,3,0,2,0,0,1,0,1,3,5,0,0,0,0,0,2,0,38,126,5,8,9,0,0,83,0,0,0,0,0,0,0,0,37,136,5,7,10,0,0,83,2,0,0,0,0,0,0,0,29.58,76.5,0.02,3187
"397",162,43320,"新莊","Wed","富邦悍將","LAMIGO桃猿",0,0,0,1,0,1,224,34,27,7,0,0,7,3,0,0,3,0,3,1,0,0,10,0,0,0,0,0,0,0,35,34,8,1,0,9,6,1,0,0,0,0,1,0,2,6,0,0,0,0,0,0,0,40,148,0,8,16,0,0,98,0,0,0,0,0,0,0,0,42,157,1,6,18,0,0,102,1,0,0,0,0,0,0,0,30.1,64.38,0,3233
"398",163,43321,"新莊","Thu","富邦悍將","LAMIGO桃猿",0,1,0,2,5,1,201,34,29,9,3,0,12,3,0,0,1,0,4,0,0,1,10,0,0,0,0,0,0,0,38,30,7,0,0,7,6,0,0,2,0,6,0,0,1,10,0,0,0,0,0,0,0,42,152,3,8,12,0,0,90,0,0,0,0,0,0,0,0,38,140,0,8,13,0,0,86,0,0,0,0,0,0,0,0,29.73,65.79,0,3128
"399",164,43321,"洲際","Thu","中信兄弟","統一7-ELEVEn獅",1,2,1,1,16,14,283,49,44,17,4,0,24,9,2,0,0,0,4,0,0,1,8,0,0,0,0,0,0,0,46,39,16,1,0,20,8,4,0,0,0,6,0,1,0,7,0,0,0,0,0,0,0,52,191,14,8,11,0,2,118,3,0,0,0,0,0,0,0,49,211,12,7,11,0,0,132,2,0,0,0,0,0,0,0,29.72,74.21,0,3186
"400",166,43322,"洲際","Fri","中信兄弟","LAMIGO桃猿",1,1,1,1,14,6,266,44,37,11,1,0,15,5,0,1,0,2,5,0,0,1,8,0,0,0,0,0,1,0,47,41,19,5,0,27,4,2,1,0,1,4,1,0,1,8,0,0,0,0,0,1,0,53,198,14,13,10,0,2,129,0,0,0,0,0,0,0,0,44,153,6,12,11,0,0,89,1,0,0,0,0,0,0,0,29.82,72.08,0,4293
"401",165,43322,"新莊","Fri","富邦悍將","統一7-ELEVEn獅",2,3,1,0,10,6,220,36,34,9,3,0,15,6,0,0,0,1,1,0,0,0,7,0,0,0,0,0,0,0,44,38,13,3,0,22,3,1,0,1,1,3,0,1,1,7,0,0,0,0,0,0,0,44,157,10,11,13,0,0,99,1,0,0,0,0,0,0,0,42,173,3,7,15,0,0,116,0,0,0,0,0,0,0,0,29.92,66.83,0,5692
"402",168,43323,"洲際","Sat","中信兄弟","LAMIGO桃猿",0,0,1,0,3,1,180,36,35,9,1,0,13,10,1,0,0,0,1,0,0,1,8,0,0,0,0,0,0,0,31,27,6,1,0,7,5,0,0,0,1,3,0,0,1,5,0,0,0,0,0,0,0,35,121,3,9,12,0,0,78,0,0,0,0,0,0,0,0,36,147,1,7,9,0,0,96,1,0,0,0,0,0,0,0,29.02,75.33,0.04,8831
"403",167,43323,"新莊","Sat","富邦悍將","統一7-ELEVEn獅",4,0,1,1,14,5,249,32,27,11,2,0,16,8,0,0,0,0,5,0,0,2,8,0,0,0,0,0,0,0,46,41,18,4,0,31,5,0,0,0,0,5,0,0,1,10,0,0,0,0,0,0,0,47,183,14,10,9,0,0,111,0,0,0,0,0,0,0,0,40,189,5,4,10,0,0,119,1,0,0,0,0,0,0,0,29.83,71.12,0,11156
"404",169,43324,"新莊","Sun","富邦悍將","統一7-ELEVEn獅",1,1,0,1,13,7,250,43,39,18,2,0,20,3,2,0,1,1,2,0,0,3,10,0,0,0,0,0,0,1,42,37,14,0,1,19,6,1,0,0,1,4,0,0,1,6,0,0,0,0,0,0,0,47,181,9,14,6,0,0,113,0,0,0,0,0,0,0,0,48,198,5,3,18,0,0,126,0,0,0,0,0,0,0,0,28.84,77.38,0.62,5139
"405",170,43324,"洲際","Sun","中信兄弟","LAMIGO桃猿",1,1,0,0,3,4,199,36,33,10,0,1,12,6,0,0,0,0,1,0,2,1,8,0,0,0,0,0,0,0,33,28,6,2,0,11,3,0,0,1,0,2,0,2,0,5,0,0,0,0,0,0,0,36,135,3,12,9,0,0,94,0,0,0,0,0,0,0,0,36,123,4,8,9,0,2,82,0,0,0,0,0,0,0,0,29.71,75.54,0,5074
"406",172,43327,"桃園","Wed","LAMIGO桃猿","統一7-ELEVEn獅",1,1,1,4,11,7,240,41,37,12,1,0,16,8,1,1,0,0,3,0,1,0,7,0,0,0,0,0,1,0,40,36,11,2,0,13,4,0,0,0,0,4,0,0,3,1,0,0,0,0,0,0,0,43,151,5,14,8,0,2,94,0,0,0,0,0,0,0,0,46,178,7,10,8,0,0,115,0,0,0,0,0,0,0,0,27.97,80.67,0,4748
"407",173,43328,"新莊","Thu","富邦悍將","中信兄弟",1,1,2,2,6,4,235,33,30,7,0,0,10,4,2,0,0,0,0,1,2,1,6,0,0,0,0,0,0,0,46,40,15,3,0,21,4,1,0,3,0,2,0,1,0,13,0,0,0,0,0,0,0,46,181,4,9,15,0,1,115,0,0,0,0,0,0,0,0,41,158,4,7,14,0,1,98,0,0,0,0,0,0,0,0,29.74,68.46,0,3898
"408",174,43328,"桃園","Thu","LAMIGO桃猿","統一7-ELEVEn獅",0,2,2,3,6,10,253,37,36,15,3,0,24,6,0,0,0,0,1,0,0,0,8,0,0,0,0,0,0,0,39,32,7,1,0,8,8,0,0,0,1,5,0,1,0,7,0,0,0,0,0,0,0,41,181,2,13,7,0,0,113,0,0,0,0,0,0,0,0,42,174,10,11,6,0,0,118,0,0,0,0,0,0,0,0,28.4,79.54,0.19,4019
"409",177,43330,"天母","Sat","統一7-ELEVEn獅","中信兄弟",0,2,0,2,5,7,222,35,28,6,2,0,8,8,0,0,0,1,4,1,1,1,6,0,0,0,0,0,0,0,39,34,9,2,0,11,7,1,0,1,1,1,0,2,1,7,0,0,0,0,0,0,0,39,133,4,9,11,0,0,93,0,0,0,0,0,0,0,0,39,173,5,9,7,0,1,106,0,0,0,0,0,0,0,0,28.55,80.46,0.15,6059
"410",178,43330,"桃園","Sat","LAMIGO桃猿","富邦悍將",2,0,1,0,6,4,188,33,30,9,3,0,15,2,0,0,0,0,2,1,0,0,7,0,0,0,0,0,0,0,35,30,9,3,0,18,6,0,0,1,1,2,0,1,0,6,0,0,0,0,0,0,0,39,136,6,10,11,0,1,90,0,0,0,0,0,0,0,0,38,126,4,10,13,0,1,77,1,0,0,0,0,0,0,0,27.85,83.21,0,14134
"411",175,43331,"天母","Sun","統一7-ELEVEn獅","中信兄弟",0,0,1,1,5,3,177,31,25,5,0,0,8,8,0,0,0,0,6,0,0,0,8,0,0,0,0,0,0,0,32,27,11,5,0,16,4,1,0,1,0,3,1,0,2,6,0,0,0,0,0,0,0,32,131,3,6,7,0,2,81,0,0,0,0,0,0,0,0,31,129,3,3,9,0,0,70,0,0,0,0,0,0,0,0,28.35,79.46,0.48,3112
"412",182,43334,"新莊","Wed","富邦悍將","統一7-ELEVEn獅",0,0,0,0,3,13,207,48,39,18,5,2,27,7,1,0,2,1,4,0,2,0,11,0,0,0,0,0,0,0,33,30,7,2,0,9,5,2,1,0,1,2,0,0,0,6,0,0,0,0,0,1,0,36,147,3,10,10,0,0,94,1,0,0,0,0,0,0,0,48,179,13,10,7,0,0,113,1,0,0,0,0,0,0,0,30.05,68.17,0,3065
"413",184,43335,"新莊","Thu","富邦悍將","統一7-ELEVEn獅",1,2,0,1,3,6,211,29,26,9,2,1,13,8,4,1,0,0,3,0,0,0,6,0,0,0,0,0,1,0,34,32,8,2,0,13,8,0,0,0,0,2,0,0,0,7,0,0,0,0,0,0,1,38,154,3,9,9,0,0,101,2,0,0,0,0,0,0,0,37,161,5,7,8,0,0,95,2,0,0,0,0,0,0,0,29.78,71.25,0,2931
"414",186,43336,"新莊","Fri","富邦悍將","LAMIGO桃猿",1,0,0,1,8,5,190,36,33,11,2,0,13,6,0,1,1,0,2,0,0,1,7,0,0,0,0,0,1,0,35,32,11,1,0,15,1,0,0,1,0,1,0,1,2,4,0,0,0,0,0,0,0,39,121,7,16,8,0,0,78,1,0,0,0,0,0,0,0,40,150,5,8,10,0,0,91,0,0,0,0,0,0,0,0,27.7,80.92,0.04,4508
"415",185,43337,"澄清湖","Sat","中信兄弟","統一7-ELEVEn獅",0,1,0,1,0,4,177,36,32,10,4,0,14,5,0,0,1,0,2,0,1,1,8,0,0,0,0,0,0,0,29,27,4,1,0,5,10,0,0,0,0,1,0,1,0,6,0,0,0,0,0,0,1,33,143,0,6,9,0,0,100,0,0,0,0,0,0,0,0,36,127,4,8,9,0,0,79,0,0,0,0,0,0,0,0,26.48,88.67,2.62,2991
"416",187,43337,"澄清湖","Sat","中信兄弟","統一7-ELEVEn獅",1,1,0,0,5,3,198,33,29,5,1,1,8,7,0,1,0,1,3,0,0,2,3,0,0,0,0,0,1,0,34,31,9,1,0,13,8,1,0,1,0,0,1,1,2,6,0,0,0,0,0,0,0,38,130,5,11,6,0,0,79,0,0,0,0,0,0,0,0,33,160,2,7,11,0,0,100,0,0,0,0,0,0,0,0,26.48,88.67,2.62,5387
"417",188,43337,"新莊","Sat","富邦悍將","LAMIGO桃猿",1,1,1,1,7,9,219,30,25,8,2,0,10,1,1,0,0,1,4,0,0,1,3,0,0,0,0,0,0,0,37,33,8,2,0,13,2,1,0,1,0,3,0,0,1,5,0,0,0,0,0,0,0,41,156,6,11,13,0,0,89,0,0,0,0,0,0,0,0,38,167,6,4,17,0,0,102,3,0,0,0,0,0,0,0,28.55,77.79,0.62,6076
"418",189,43338,"澄清湖","Sun","中信兄弟","統一7-ELEVEn獅",1,3,0,3,5,7,215,39,33,12,1,1,15,3,4,2,1,1,4,0,0,1,8,0,0,0,0,0,2,0,35,31,8,3,0,14,7,0,3,0,0,3,0,1,1,7,0,0,0,0,0,3,0,39,164,4,12,6,0,0,104,0,0,0,0,0,0,0,0,39,129,3,7,12,0,0,79,0,0,0,0,0,0,0,0,26.16,88.25,1.02,4339
"419",190,43338,"新莊","Sun","富邦悍將","LAMIGO桃猿",0,1,3,0,1,14,181,40,34,15,2,0,26,7,0,1,0,1,5,0,0,1,5,0,0,0,0,0,1,0,29,28,5,0,0,5,7,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,33,107,1,6,13,0,0,78,0,0,0,0,0,0,0,0,43,161,13,9,7,0,0,104,1,0,0,0,0,0,0,0,28.22,78.58,0.08,3547
"420",192,43341,"洲際","Wed","中信兄弟","富邦悍將",1,1,0,1,9,0,187,31,28,2,2,0,4,11,0,1,0,0,3,0,0,0,4,0,0,0,0,0,1,1,44,37,13,1,1,19,4,0,0,1,0,6,0,0,0,12,0,0,0,0,0,0,0,50,168,5,10,14,0,0,108,0,0,0,0,0,0,0,0,31,129,0,7,8,0,0,83,0,0,0,0,0,0,0,0,25.9,90.38,0.15,2973
"421",194,43342,"洲際","Thu","中信兄弟","富邦悍將",0,0,0,1,0,3,181,33,27,6,1,0,7,5,0,1,0,0,5,0,1,2,6,0,0,0,0,0,1,0,35,33,8,2,0,10,9,1,0,0,0,2,0,0,1,9,0,0,0,0,0,0,0,36,150,0,6,10,0,0,91,1,0,0,0,0,0,0,0,33,131,3,10,6,0,0,78,0,0,0,0,0,0,0,0,27.15,80.21,0,2903
"422",195,43343,"澄清湖","Fri","統一7-ELEVEn獅","富邦悍將",1,0,0,1,6,3,231,39,33,8,4,0,12,7,1,0,0,0,5,0,1,1,10,0,0,0,0,0,0,0,38,34,10,3,0,16,2,0,0,1,0,3,0,0,1,8,0,0,0,0,0,0,0,41,149,6,13,12,0,1,88,0,0,0,0,0,0,0,0,42,185,3,10,9,0,0,106,0,0,0,0,0,0,0,0,27.3,76.88,0,3028
"423",196,43343,"桃園","Fri","LAMIGO桃猿","中信兄弟",0,0,1,0,1,4,204,31,29,9,1,0,13,6,0,0,0,0,2,0,0,1,6,0,0,0,0,0,0,0,35,29,6,0,0,6,4,0,0,0,0,4,0,2,4,7,0,0,0,0,0,0,0,35,138,1,6,13,0,0,77,1,0,0,0,0,0,0,0,35,150,4,6,9,0,0,104,0,0,0,0,0,0,0,0,26.92,80.5,0,7134
